"genus_1","genus_2","instability","weight"
"Runella","Paracoccus",0,0.0320324243628732
"Lactobacillus","Paracoccus",0,0.0319386894901689
"Lysinibacillus","Shewanella",0,0.031671850912558
"ZOR0006","Aeromonas",0,0.0315229930538482
"Bacteroides","Luteimonas",0,0.0314997038385037
"Ignatzschineria","Mycoplasma",0,0.030969789015439
"A-N-P-R","Paucibacter",0,0.0309253445097727
"Aurantisolimonas","Chitinibacter",0,0.0304123854415115
"Yersinia","Acinetobacter",0,0.0303953678904631
"Caenimonas","Aeromonas",0,0.0300579920057377
"Pseudoduganella","Mycoplasma",0,0.029781558599532
"Lactobacillus","Aeromonas",0,0.0289276310917745
"Silvanigrella","Plesiomonas",0,0.028846088320223
"Peptostreptococcus","Bosea",0,0.0286445035808339
"Bacteroides","Ignatzschineria",0,0.0272171287254621
"Silvanigrella","Rheinheimera",0,0.0271202910741795
"Ensifer","Luteimonas",0,0.0267917188795118
"Pseudoduganella","Paucibacter",0,0.0263602287114787
"Peptostreptococcus","Lysinibacillus",0,0.0261200969373063
"Lactobacillus","Defluviimonas",0,0.0254178068788611
"Bosea","Rheinheimera",0,0.0249565330917137
"Undibacterium","Chitinibacter",0,0.0245821632354823
"Silvanigrella","Ignatzschineria",0,0.0245063161946898
"Rheinheimera","Cetobacterium",0,0.0239032141447636
"Ignatzschineria","Photobacterium",0,0.0229227704172713
"Bacteroides","Yersinia",0,0.0228438568443588
"Chitinimonas","Paraclostridium",0,0.02242594261362
"Bacteroides","Lysinibacillus",0,0.0224101717430125
"Runella","Flavobacterium",0,0.0221287250806135
"Fluviicola","ZOR0006",0,0.0221110996278285
"Silvanigrella","Lysinibacillus",0,0.0220125223192843
"Silvanigrella","Cetobacterium",0,0.0213368136129042
"Bacteroides","Rheinheimera",0,0.0212734199820175
"Lactobacillus","Ignatzschineria",0,0.020710990574693
"Silvanigrella","Yersinia",0,0.020671431647851
"Silvanigrella","Aeromonas",0,0.0206444728894046
"Yersinia","Shewanella",0,0.0206191035537191
"Caenimonas","Acinetobacter",0,0.0204618050816911
"Runella","Undibacterium",0,0.0203127531007605
"Gemmobacter","Pseudomonas",0,0.0200584248727754
"Paraclostridium","Undibacterium",0,0.0200490029789374
"Cloacibacterium","Pseudomonas",0,0.0184114708286389
"Peptostreptococcus","Haliscomenobacter",0,0.0183740456630514
"Silvanigrella","Weissella",0,0.0182504930940155
"Cloacibacterium","Acinetobacter",0,0.018124495950985
"Haliscomenobacter","Defluviimonas",0,0.0174962708482648
"Bosea","ZOR0006",0,0.0172550785270217
"Ensifer","Chitinibacter",0,0.0171652726947844
"Lysinibacillus","Weissella",0,0.0166864316044088
"Plesiomonas","Aeromonas",0,0.0163900749853689
"Gemmobacter","Cetobacterium",0,0.016105010655973
"Runella","Rheinheimera",0,0.0160810138271652
